TTU Bad Oeynhausen e.V.;7;1;0;0;;
TSV Rothenuffeln;9;3;0;0;;
TuS Victoria Dehme e.V.;8;2;0;0;;
TSV Hahlen;0;0;0;0;;
TuS Lohe;0;0;0;0;;
RSV Westfalia Mindenerwald;0;0;0;0;;
TSG Rehme;8;2;0;0;;
SuS Veltheim;2;8;0;0;;
SV 1860 Minden;10;4;0;0;;
TuS Dielingen;0;0;0;0;;
TTG Windheim-Neuenknick;5;11;0;0;;
TG Werste;0;0;0;0;;
TuS Porta Westfalica;0;0;0;0;;
Sportverein Leteln-Weser;0;0;0;0;;
SV Kutenhausen-Todtenhausen;0;0;0;0;;
SC Blau-Weiss Vehlage;7;1;6;1;;
TuS Porta Barkhausen;0;0;0;0;;
TTC Petershagen/Friedewalde e.V.;8;2;4;9;;
TV Jahn 1892 Neesen;12;6;0;0;;
TuS Holzhausen/Porta;11;5;0;0;;
TV Hille;8;2;0;0;;
TTC Rahden;0;0;0;0;;
ATSV Espelkamp;3;9;9;4;;
TTV Luebbecke;10;4;0;0;;
TuS Wehe;7;1;0;0;;
Sport Club Blasheim;11;5;0;0;;
VfL Frotheim;3;9;0;0;;
SC Hollwede;4;10;0;0;;
Holsener SV von 1964 e.V.;12;6;0;0;;
SuS Holzhausen;0;0;0;0;;
Spielvereinigung Union Varl;3;9;0;0;;
TuS Nettelstedt;0;0;0;0;;
SV Boerninghausen;5;11;0;0;;
SV Huellhorst-Oberbauerschaft;0;0;0;0;;
HSC Alswede von 1946 e.V.;8;2;0;0;;
TTV Salzkotten;7;1;0;0;;
SC Wewer 2000;9;3;0;0;;
TTV Hoevelhof;6;12;0;0;;
ESV TuS Altenbeken;3;9;0;0;;
SC GW Paderborn;8;2;2;7;;
FC Stukenbrock;4;10;0;0;;
SC Victoria Neuenbeken;0;0;0;0;;
SC Borchen;0;0;0;0;;
TTC Paderborn e.V.;10;4;0;0;;
TTC Bad Lippspringe;0;0;0;0;;
TuS Bad Wuennenberg;4;10;0;0;;
TuRa Elsen;11;5;0;0;;
SC BW Ostenland;9;3;0;0;;
SV BW Sande;2;8;0;0;;
TV Geseke;11;5;0;0;;
SV Rot-Weiss Bentfeld;4;10;0;0;;
TuS Wewelsburg;0;0;0;0;;
SV Heide Paderborn;1;7;0;0;;
SV BW Etteln;6;12;0;0;;
VfL Thuele;10;4;0;0;;
TTC Kolping Boke;0;0;0;0;;
DJK Graf Spork Delbrueck;7;1;10;5;;
SV Blau-Weiss Benhausen;2;8;0;0;;
SV Rot-Weiss Alfen;0;0;0;0;;
VfL Lichtenau;0;0;0;0;;
TSV Schloss Neuhaus;3;9;0;0;;
BV 23 Alme e.V.;0;0;0;0;;
TTC Simonswerk Rheda;0;0;0;0;;
TTSG Rietberg-Neuenkirchen e.V.;9;3;0;0;;
TSG Rheda;0;0;0;0;;
SW Marienfeld;0;0;0;0;;
Post SV Guetersloh;7;1;10;5;;
SC Wiedenbrueck e.V.;8;2;0;0;;
SV Spexard;11;5;10;5;;
TSV Victoria Clarholz;11;5;1;6;;
TV Einigkeit Langenberg;2;8;9;4;;
DJK Blau-Weiss Avenwedde;10;4;1;6;;
Guetersloher Turnverein von 1879 e.V.;5;11;0;0;;
TTSV Schloss Holte-Sende;9;3;1;6;;
TTC Oelde;9;3;0;0;;
TSG Harsewinkel;11;5;0;0;;
DJK Guetersloh;0;0;0;0;;
SC Germania Stromberg;3;9;0;0;;
TV 1912 Verl e.V.;4;10;0;0;;
SV Herzebrock;12;6;2;7;;
SV Rot-Weiss Mastholte;6;12;0;0;;
TV Isselhorst;0;0;0;0;;
SC GW Varensell;0;0;0;0;;
